DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
18/03/2025,1,MI,,C,6.4,150.0,O
18/03/2025,1,MI,,C,0.1,150.0,O
18/03/2025,1,MI,,C,0.2,150.0,O
18/03/2025,1,MI,,C,0.4,150.0,O
18/03/2025,1,MI,,C,0.9,150.0,O
18/03/2025,1,MI,,C,0.1,150.0,O
18/03/2025,1,MI,,C,1.7,150.0,O
18/03/2025,1,MI,,C,3.6,150.0,O
18/03/2025,1,MI,,C,0.1,150.0,O
18/03/2025,1,MI,,C,0.6,150.0,O
18/03/2025,1,MI,,C,0.7,150.0,O
18/03/2025,1,MI,,C,0.3,150.0,O
18/03/2025,1,MI,,C,1.1,150.0,O
18/03/2025,1,MI,,C,0.2,150.0,O
18/03/2025,1,MI,,C,0.5,150.0,O
18/03/2025,1,MI,,C,0.7,140.0,O
18/03/2025,1,MI,,C,0.5,140.0,O
18/03/2025,1,MI,,C,1.2,137.0,O
18/03/2025,1,MI,,C,5.9,130.0,O
18/03/2025,1,MI,,C,0.6,130.0,O
18/03/2025,1,MI,,C,1.0,129.4,O
18/03/2025,1,MI,,C,1.0,126.4,O
18/03/2025,1,MI,,C,20.0,120.0,O
18/03/2025,1,MI,,C,11.0,119.99,O
18/03/2025,1,MI,,C,11.5,119.99,O
18/03/2025,1,MI,,C,13.2,119.0,O
18/03/2025,1,MI,,C,20.0,115.0,O
18/03/2025,1,MI,,C,12.7,112.0,O
18/03/2025,1,MI,,C,20.0,111.0,O
18/03/2025,1,MI,,C,2.2,110.0,O
18/03/2025,1,MI,,C,6.9,109.99,O
18/03/2025,1,MI,,C,14.8,109.99,O
18/03/2025,1,MI,,C,13.2,109.0,O
18/03/2025,1,MI,,C,12.7,105.0,O
18/03/2025,1,MI,,C,6.0,105.0,O
18/03/2025,1,MI,,C,12.0,101.99,O
18/03/2025,1,MI,,C,0.2,101.99,O
18/03/2025,1,MI,,C,9.0,101.99,O
18/03/2025,1,MI,,C,13.2,100.0,O
18/03/2025,1,MI,,C,20.0,100.0,O
18/03/2025,1,MI,,C,3.9,99.99,O
18/03/2025,1,MI,,C,7.6,99.99,O
18/03/2025,1,MI,,C,7.0,99.99,O
18/03/2025,1,MI,,C,2.7,99.99,O
18/03/2025,1,MI,,C,40.0,99.0,O
18/03/2025,1,MI,,C,2.6,97.99,O
18/03/2025,1,MI,,C,3.5,97.99,O
18/03/2025,1,MI,,C,9.6,97.99,O
18/03/2025,1,MI,,C,4.9,97.99,O
18/03/2025,1,MI,,C,0.4,97.99,O
18/03/2025,1,MI,,C,5.9,97.0,O
18/03/2025,1,MI,,C,20.0,97.0,O
18/03/2025,1,MI,,C,12.8,97.0,O
18/03/2025,1,MI,,C,1.0,94.99,O
18/03/2025,1,MI,,C,0.2,94.99,O
18/03/2025,1,MI,,C,5.1,94.99,O
18/03/2025,1,MI,,C,7.6,94.99,O
18/03/2025,1,MI,,C,7.4,94.99,O
18/03/2025,1,MI,,C,13.2,91.0,O
18/03/2025,1,MI,,C,6.6,90.99,O
18/03/2025,1,MI,,C,8.1,90.99,O
18/03/2025,1,MI,,C,6.5,90.99,O
18/03/2025,1,MI,,C,14.8,90.0,O
18/03/2025,1,MI,,C,20.0,90.0,O
18/03/2025,1,MI,,C,14.8,87.5,O
18/03/2025,1,MI,,C,4.5,87.15,O
18/03/2025,1,MI,,C,1.8,87.0,O
18/03/2025,1,MI,,C,0.6,87.0,O
18/03/2025,1,MI,,C,0.3,87.0,O
18/03/2025,1,MI,,C,1.6,87.0,O
18/03/2025,1,MI,,C,1.9,87.0,O
18/03/2025,1,MI,,C,8.5,85.01,O
18/03/2025,1,MI,,C,36.1,85.01,O
18/03/2025,1,MI,,C,15.4,85.01,O
18/03/2025,1,MI,,C,14.6,85.0,O
18/03/2025,1,MI,,C,12.0,85.0,O
18/03/2025,1,MI,,C,15.0,85.0,O
18/03/2025,1,MI,,C,7.5,83.86,O
18/03/2025,1,MI,,C,14.9,82.5,O
18/03/2025,1,MI,,C,4.5,82.15,O
18/03/2025,1,MI,,C,7.5,81.86,O
18/03/2025,1,MI,,C,8.7,80.56,O
18/03/2025,1,MI,,C,4.1,80.01,O
18/03/2025,1,MI,,C,15.9,80.01,O
18/03/2025,1,MI,,C,14.8,80.0,O
18/03/2025,1,MI,,C,20.0,80.0,O
18/03/2025,1,MI,,C,7.5,79.86,O
18/03/2025,1,MI,,C,3.0,79.15,O
18/03/2025,1,MI,,C,7.5,77.86,O
18/03/2025,1,MI,,C,3.0,77.15,O
18/03/2025,1,MI,,C,5.4,76.89,O
18/03/2025,1,MI,,C,8.8,76.0,O
18/03/2025,1,MI,,C,15.0,75.0,O
18/03/2025,1,MI,,C,20.0,75.0,O
18/03/2025,1,MI,,C,5.4,74.39,O
18/03/2025,1,MI,,C,3.0,74.15,O
18/03/2025,1,MI,,C,3.0,72.15,O
18/03/2025,1,MI,,C,5.4,71.89,O
18/03/2025,1,MI,,C,0.8,70.0,O
18/03/2025,1,MI,,C,20.0,70.0,O
18/03/2025,1,MI,,C,1.1,70.0,O
18/03/2025,1,MI,,C,20.0,70.0,O
18/03/2025,1,MI,,C,7.2,70.0,O
18/03/2025,1,MI,,C,2.0,70.0,O
18/03/2025,1,MI,,C,2.4,70.0,O
18/03/2025,1,MI,,C,1.6,70.0,O
18/03/2025,1,MI,,C,1.0,70.0,O
18/03/2025,1,MI,,C,5.4,69.39,O
18/03/2025,1,MI,,C,3.0,67.15,O
18/03/2025,1,MI,,C,5.5,66.89,O
18/03/2025,1,MI,,C,20.0,65.0,O
18/03/2025,1,MI,,C,25.0,64.5,O
18/03/2025,1,MI,,C,20.0,62.19,O
18/03/2025,1,MI,,C,3.0,62.15,O
18/03/2025,1,MI,,C,20.0,61.89,O
18/03/2025,1,MI,,C,20.0,61.0,O
18/03/2025,1,MI,,C,1.5,60.15,O
18/03/2025,1,MI,,C,30.0,59.0,O
18/03/2025,1,MI,,C,21.3,57.19,O
18/03/2025,1,MI,,C,1.5,57.15,O
18/03/2025,1,MI,,C,60.0,56.0,O
18/03/2025,1,MI,,C,20.0,55.64,O
18/03/2025,1,MI,,C,35.0,53.5,O
18/03/2025,1,MI,,C,10.0,51.12,O
18/03/2025,1,MI,,C,10.0,51.12,O
18/03/2025,1,MI,,C,20.0,49.39,O
18/03/2025,1,MI,,C,40.0,48.0,O
18/03/2025,1,MI,,C,20.0,47.19,O
18/03/2025,1,MI,,C,4.9,47.07,O
18/03/2025,1,MI,,C,12.3,47.07,O
18/03/2025,1,MI,,C,10.0,46.12,O
18/03/2025,1,MI,,C,10.0,46.12,O
18/03/2025,1,MI,,C,32.8,43.24,O
18/03/2025,1,MI,,C,5.0,43.14,O
18/03/2025,1,MI,,C,20.0,43.14,O
18/03/2025,1,MI,,C,220.0,42.1,O
18/03/2025,1,MI,,C,220.0,41.89,O
18/03/2025,1,MI,,C,220.0,41.68,O
18/03/2025,1,MI,,C,220.0,41.43,O
